Zp,Zs,LR,MR,VpVs,label
5687.4556,2844.6895,16.1657,8.0938,1.9993,0
5520.0391,2752.8015,15.315999999999999,7.5787,2.0053,0
5538.8853,2763.4634,15.4059,7.6368,2.0043,0
5606.5586,2805.0229,15.6973,7.8684,1.9988,0
5717.5591,2877.7524,16.1278,8.2823,1.9869,0
5869.9507,3002.9348,16.4195,9.0203,1.955,0
6043.2925,3068.2463,17.6973,9.4145,1.9696,0
6198.937,3146.9868,18.6211,9.9048,1.9698,0
6279.6914,3181.9333,19.1857,10.1248,1.9735,0
6283.2285,3162.3611,19.4776,10.0007,1.9869,0
5988.7905,3052.0293,17.2577,9.3185,1.9619,0
5647.2852,2827.5901,15.8963,8.0087,1.9984,0
5480.7856,2713.8098,15.3103,7.3655,2.0196,0
5316.3442,2625.2573,14.4829,6.8942,2.0251,0
5266.6455,2600.2422,14.215,6.7613,2.0254,0
5357.2554,2651.4529,14.6412,7.0314,2.0205,0
5407.3203,2680.1128,14.8731,7.183,2.0176,0
5406.8271,2682.0842,14.8466,7.1936,2.0159,0
5483.8691,2728.7605,15.1817,7.4475,2.0097,0
5601.3369,2803.3845,15.6574,7.8603,1.9982,0
5726.8667,2888.3677,16.112000000000002,8.3448,1.9829,0
5971.3062,3026.2139,17.3524,9.1654,1.9733,0
6202.4165,3141.5789,18.7347,9.8708,1.9743,0
6249.0444,3148.0615,19.2293,9.9109,1.9851,0
6112.2627,3056.6284,18.6772,9.3473,1.9998,0
5751.2568,2863.5828,16.7077,8.2166,2.0085,0
5459.6685,2714.1421,15.0756,7.3671,2.0116,0
5457.8042,2713.8821,15.058,7.3657,2.0111,0
5498.4443,2736.4519,15.2566,7.4882,2.0093,0
5487.7886,2729.4841,15.2157,7.4501,2.0106,0
5502.9902,2735.8445,15.3135,7.485,2.0114,0
5506.0596,2735.4268,15.3519,7.4829,2.0129,0
5446.6563,2701.0107,15.0754,7.2957,2.0165,0
5430.876,2692.4941,14.9955,7.2497,2.0171,0
5475.1963,2717.2947,15.2106,7.3838,2.0149,0
5519.7959,2809.8774,14.6526,7.9082,2.0137,0
5516.0342,2878.0325,13.8328,8.2991,2.0105,0
5395.8979,2678.4436,14.7676,7.1748,2.0146,0
5355.5601,2647.6482,14.6622,7.0103,2.0228,0
5442.6729,2722.0083,14.796,7.4159,2.0205,0
5525.7222,2809.6208,14.7385,7.8989,2.0203,0
5442.5732,2694.7913,15.0978,7.2619,2.0197,0
5451.5229,2704.2153,15.0935,7.3128,2.0159,0
5473.8345,2720.4629,15.1628,7.4012,2.0121,0
5602.4282,2773.844,16.0007,7.6956,2.0198,0
5724.9185,2838.0447,16.6657,8.055,2.0172,0
5657.1133,2790.1152,16.4334,7.7847,2.0276,0
5614.0576,2772.6094,16.1496,7.6891,2.0247,0
5364.3716,2666.8037,14.5529,7.1123,2.0116,0
5310.1597,2649.5549,14.1429,7.0307,2.0221,0
5554.2153,2919.5745,13.8056,8.5245,2.0233,0
5774.3872,2854.1487,17.0515,8.1463,2.0232,0
5841.7803,2890.3093,17.419,8.354,2.0212,0
5746.5977,2843.7583,16.8496,8.087,2.0208,0
5678.3467,2809.9878,16.4517,7.8961,2.0208,0
5755.2041,2849.2639,16.8859,8.1184,2.0199,0
5865.3423,2904.4990000000003,17.5301,8.4361,2.0194,0
5980.9111,2961.427,18.2312,8.7701,2.0196,0
5825.3345,2880.4153,17.340999999999998,8.2968,2.0224,0
5627.9072,2778.3657,16.2351,7.7196,2.0256,0
5478.8525,2701.7070000000003,15.4198,7.2994,2.0279,0
5461.625,2693.1843,15.3229,7.2532,2.0279,0
5531.3091,2729.9417,15.6904,7.4527,2.0262,0
5615.8267,2775.73,16.1284,7.7049,2.0232,0
5754.5361,2849.0266,16.8817,8.1175,2.0198,0
5758.2217,2853.9675,16.8669,8.1451,2.0176,0
5901.5825,2927.2935,17.6922,8.5699,2.0161,0
5968.9961,2957.6714,18.1335,8.7479,2.0181,0
5804.9795,2868.2419,17.2467,8.2286,2.0239,0
5532.3159,2762.5059,15.353,7.6331,2.0025,0
5391.2231,2679.8337,14.7022,7.1825,2.0119,0
5405.5078,2707.3191,14.5597,7.3301,1.9967,0
5483.2793,2753.147,14.9074,7.5802,1.9916,0
5680.5107,2815.8972,16.4181,7.9302,2.0171,0
5711.8677,2888.1489,15.9407,8.3425,1.9780000000000002,0
5565.6387,2857.728,14.6484,8.1676,2.0069999999999997,0
5379.8516,2691.1387,14.4475,7.2513,2.0249,0
5165.9546,2542.5525,13.7625,6.468,2.0319,0
5105.4185,2509.9077,13.466,6.2997,2.0341,0
5253.0176,2592.7346,14.1536,6.7256,2.0262,0
5491.7988,2725.1228,15.3132,7.4309,2.0154,0
5794.1895,2904.1287,16.7116,8.4439,1.9956,0
6060.7627,3070.5029,17.8792,9.4331,1.9741,0
6285.9844,3289.9119,17.843,10.8416,1.9125,0
6307.3247,3287.178,18.1559,10.8151,1.9199,0
6145.2583,3108.1365,18.4384,9.6676,1.9778,0
5729.9478,2842.5898,16.7016,8.1109,2.0168,0
6461.3584,3406.2153,18.5447,11.6026,1.8969,0
5447.1719,2733.0325,14.7328,7.4695,1.9931,0
5499.9302,2756.1807,15.0566,7.5967,1.9955,0
5481.6851,2745.075,14.9781,7.5355,1.9969,0
5463.1377,2747.2539,14.7536,7.5489,1.9886,0
5546.6846,2792.0818,15.1745,7.7959,1.9866,0
5613.8169,2830.3479,15.4937,8.0113,1.9835,0
5742.4839,2902.2888,16.1318,8.4251,1.9786,0
5781.0571,2927.2517,16.2831,8.5688,1.9749,0
5743.1582,2909.748,16.0508,8.4668,1.9738,0
5822.3506,2963.6055,16.3341,8.783,1.9646,0
5884.8457,2987.6465,16.7796,8.9263,1.9697,0
5434.6938,2693.3628,15.0288,7.2554,2.0178,0
5559.8779,2763.2915,15.6411,7.6362,2.0121,0
5433.0791,2693.4731,15.0097,7.2555,2.0171,0
5310.3584,2622.0347,14.4503,6.8756,2.0253,0
5263.1377,2592.0493,14.2632,6.7188,2.0305,0
5173.8462,2545.6116,13.809000000000001,6.4805,2.0325,0
5183.5723,2555.4312,13.809000000000001,6.5303,2.0285,0
5295.9121,2624.6931,14.2693,6.89,2.0178,0
5424.2173,2704.1445,14.798,7.3135,2.0059,0
5542.2334,2768.3582,15.3898,7.6645,2.002,0
5570.8579,2773.9927,15.6444,7.6951,2.0083,0
5212.4624,2578.8713,13.8875,6.6634,2.0215,0
5218.6323,2574.7363,13.979000000000001,6.6307,2.0268,0
5298.3018,2614.3677,14.4023,6.835,2.0266,0
5290.3081,2611.5032,14.3476,6.82,2.0258,0
5292.335,2614.1853,14.3409,6.834,2.0245,0
5227.103,2580.501,14.0058,6.6597,2.0256,0
5210.998,2572.4348,13.9197,6.6175,2.0257,0
5318.1382,2631.6567,14.4335,6.9273,2.0209,0
5478.1187,2725.7012,15.1527,7.4319,2.0099,0
5504.0337,2735.5769,15.3275,7.484,2.0121,0
5442.541,2697.0198,15.0738,7.2742,2.0180000000000002,0
5472.1157,2713.8586,15.2149,7.3657,2.0164,0
5567.4888,2764.9128,15.7085,7.6454,2.0136,0
5577.2148,2769.2524,15.7682,7.669,2.0140000000000002,0
5504.1284,2729.9114,15.3914,7.4529,2.0162,0
5522.9419,2736.3623,15.5294,7.4885,2.0183,0
5543.6255,2742.7168,15.6873,7.523,2.0212,0
5524.9502,2731.5615,15.6024,7.4616,2.0226,0
5642.8525,2795.2292,16.2196,7.8164,2.0188,0
5717.0405,2837.8945,16.5783,8.0541,2.0145,0
5713.8755,2838.7214,16.533,8.0591,2.0128,0
5729.2378,2843.6641,16.6523,8.0876,2.0148,0
5605.8696,2772.5334,16.0537,7.6884,2.022,0
5505.7627,2717.1655,15.5476,7.3831,2.0263,0
5488.4580000000005,2708.3242,15.4532,7.3351,2.0265,0
5502.4854,2717.2709999999997,15.5102,7.3836,2.025,0
5495.7593,2718.0623,15.4278,7.3879,2.0219,0
5522.1895,2733.7107,15.5508,7.474,2.02,0
5669.7876,2803.7458,16.427,7.8629,2.0223,0
5815.5825,2892.0227,17.0926,8.3649,2.011,0
5989.9258,3012.0581,17.7462,9.0849,1.989,0
6330.4199,3202.8867,19.5583,10.2586,1.9765,0
6361.3525,3199.2075,19.9976,10.236,1.9885,0
6156.709,3082.0439,18.9251,9.511000000000001,1.9978,0
5730.3218,2854.6033,16.5414,8.1502,2.0074,0
5585.3701,2779.4927,15.7452,7.7256,2.0095,0
5591.894,2791.2034,15.6875,7.7911,2.0034,0
5629.479,2823.1187,15.751,7.97,1.9941,0
5604.9902,2801.4436,15.72,7.8486,2.0008,0
5507.7788,2739.9956,15.3207,7.5079,2.0102,0
5432.7637,2693.9021,15.0009,7.2572,2.0167,0
5481.98,2714.7947,15.3119,7.3702,2.0193,0
5438.8574,2690.1995,15.1069,7.2372,2.0217,0
5423.0464,2683.0303,15.0133,7.1994,2.0213,0
5643.7358,2799.9219,16.1728,7.8397,2.0157,0
5758.2324,2865.1516,16.7391,8.2091,2.0097,0
5749.0708,2865.397,16.6308,8.2105,2.0064,0
5776.6973,2877.6433,16.8086,8.2808,2.0074,0
5718.1909,2838.8918,16.5791,8.0593,2.0142,0
5577.8237,2757.5317,15.9043,7.6041,2.0228,0
5377.8262,2649.937,14.8774,7.0226,2.0294,0
5255.897,2588.7151,14.2219,6.7016,2.0303,0
5503.2192,2723.5361,15.4522,7.4191,2.0207,0
5956.6299,2953.2886,18.0465,8.7265,2.017,0
5902.4121,2944.3997,17.5004,8.6696,2.0046,0
5883.3052,2931.5061,17.4258,8.5937,2.0069,0
5795.2803,2880.6787,16.9891,8.2987,2.0118,0
